Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
Zylan Cheatham\cheatzy01,PF,24,NOP,4,0,51,5.4,8.2,0.667,0,0.9,0,5.4,7.3,0.75,0,0,,2.7,5.4,8.2,2.7,0.9,0.9,3.6,9.1,10.9,,103,114
Chris Chiozza\chiozch01,PG,24,TOT,28,2,401,6.5,16.5,0.393,3.2,8.5,0.375,3.3,8,0.412,0.6,0.6,1,1.1,5.2,6.2,9.8,2.5,0.5,3.8,4.3,16.7,,103,111
Chris Chiozza\chiozch01,PG,24,WAS,10,0,123,3.8,12.9,0.294,2.7,6.1,0.438,1.1,6.8,0.167,0,0,,0,5.7,5.7,10.6,3.8,0.8,3.4,4.6,10.3,,91,111
Chris Chiozza\chiozch01,PG,24,BRK,18,2,278,7.7,18,0.425,3.4,9.5,0.357,4.3,8.5,0.5,0.9,0.9,1,1.5,4.9,6.5,9.4,1.9,0.3,3.9,4.3,19.6,,107,110
Marquese Chriss\chrisma01,PF,22,GSW,59,21,1196,8.4,15.4,0.545,0.3,1.6,0.205,8.1,13.8,0.584,4.8,6.2,0.769,4.6,10,14.6,4.6,1.6,2.5,3.1,4.9,21.9,,117,110
Gary Clark\clarkga01,SF-PF,25,TOT,42,5,567,4.5,11.2,0.406,3.3,9.3,0.351,1.3,1.9,0.682,0.8,0.8,0.9,3.1,6.1,9.3,1.4,0.5,1.9,0.8,3.9,13.1,,120,112
Gary Clark\clarkga01,PF,25,HOU,18,0,212,5,12.9,0.39,3.9,11.1,0.353,1.1,1.7,0.625,1.3,1.5,0.857,2.4,6.3,8.7,2.6,0.4,1.5,0.4,4.6,15.3,,126,113
Gary Clark\clarkga01,SF,25,ORL,24,5,355,4.3,10.1,0.419,2.9,8.2,0.35,1.4,1.9,0.714,0.4,0.4,1,3.6,6,9.6,0.7,0.5,2.1,1.1,3.4,11.8,,116,111
Brandon Clarke\clarkbr01,PF,23,MEM,58,4,1300,10.6,17.2,0.618,0.8,2.3,0.359,9.8,14.9,0.658,3.1,4,0.759,3.3,9.1,12.4,2.9,1.1,1.7,2,3.6,25.1,,127,109
Jordan Clarkson\clarkjo01,SG,27,TOT,71,2,1705,11.2,24.7,0.454,4.3,11.8,0.368,6.9,13,0.533,3.9,4.7,0.836,1.4,3.9,5.3,3.9,1.3,0.5,2.8,3.1,30.8,,111,114
Jordan Clarkson\clarkjo01,SG,27,CLE,29,0,666,10.5,23.8,0.442,4.3,11.6,0.371,6.2,12.2,0.509,5.6,6.3,0.884,1.5,3.5,5,5.1,1.2,0.6,2.8,2.4,30.9,,116,118
Jordan Clarkson\clarkjo01,SG,27,UTA,42,2,1039,11.7,25.3,0.462,4.4,11.9,0.366,7.4,13.4,0.547,2.9,3.7,0.785,1.4,4.2,5.5,3.1,1.4,0.4,2.7,3.5,30.7,,109,112
Nicolas Claxton\claxtni01,C,20,BRK,15,0,187,6.8,12.1,0.563,0.3,1.8,0.143,6.6,10.4,0.634,2.8,5.3,0.524,4.8,6.3,11.1,4,0.3,2,2.3,3.5,16.7,,118,111
Chris Clemons\clemoch01,SG,22,HOU,33,0,291,9.1,22.6,0.401,5.9,17,0.346,3.2,5.6,0.571,1.6,1.7,0.909,0.6,4.1,4.8,4.3,1.4,1,3,4.1,25.6,,105,112
Antonius Cleveland\clevean01,SG,25,DAL,11,0,46,4.2,14.7,0.286,0,3.2,0,4.2,11.6,0.364,3.2,5.3,0.6,2.1,5.3,7.4,1.1,1.1,3.2,2.1,8.4,11.6,,74,110
Amir Coffey\coffeam01,SG,22,LAC,18,1,159,6.8,16.1,0.426,1.8,5.6,0.316,5.1,10.4,0.486,1.8,3.3,0.545,1.2,3.6,4.8,4.2,1.5,0.6,2.4,5.9,17.2,,100,110
John Collins\collijo01,PF,22,ATL,41,41,1363,12.1,20.7,0.583,2,5,0.401,10.1,15.7,0.642,4.1,5.1,0.8,4,10.3,14.2,2.1,1.1,2.3,2.6,4.7,30.3,,124,112
Zach Collins\colliza01,PF,22,POR,11,11,290,5.3,11.2,0.471,1.2,3.1,0.368,4.1,8.1,0.51,1,1.3,0.75,4.1,7.2,11.3,2.6,0.8,0.8,2.3,5.9,12.7,,110,116
Mike Conley\conlemi01,PG,32,UTA,47,41,1363,8.3,20.2,0.409,3.4,9.1,0.375,4.9,11.1,0.437,4.1,5,0.827,1.2,4.2,5.4,7.4,1.3,0.2,3.3,3.7,24.1,,109,112
Pat Connaughton\connapa01,SG,27,MIL,67,4,1243,5,11.1,0.455,2,6.1,0.331,3,5,0.607,1.1,1.5,0.775,2.2,8.2,10.4,3.9,0.9,1.1,1.9,2.6,13.2,,114,104
Quinn Cook\cookqu01,PG,26,LAL,44,1,508,8.5,20,0.425,2.9,8,0.365,5.6,12.1,0.465,1,1.3,0.786,1,3.7,4.8,4.6,1.1,0.2,3.1,2.5,21,,99,111
Tyler Cook\cookty01,PF-SF,22,TOT,13,0,54,7.2,10.9,0.667,0,0,,7.2,10.9,0.667,6.3,7.2,0.875,5.4,7.2,12.7,0.9,2.7,0,2.7,4.5,20.8,,135,112
Tyler Cook\cookty01,PF,22,CLE,11,0,35,9.7,13.9,0.7,0,0,,9.7,13.9,0.7,7,8.3,0.833,5.6,8.3,13.9,1.4,1.4,0,1.4,5.6,26.4,,150,116
Tyler Cook\cookty01,SF,22,DEN,2,0,19,2.6,5.2,0.5,0,0,,2.6,5.2,0.5,5.2,5.2,1,5.2,5.2,10.4,0,5.2,0,5.2,2.6,10.4,,99,105
Robert Covington\covinro01,PF-C,29,TOT,70,68,2137,6.6,15.7,0.422,3.5,10.4,0.335,3.1,5.3,0.593,2.1,2.7,0.798,1.4,8.7,10,1.9,2.5,2,2.2,4.8,18.9,,105,107
Robert Covington\covinro01,PF,29,MIN,48,47,1411,7.1,16.3,0.435,3.6,10.3,0.346,3.6,6.1,0.587,2.5,3.1,0.798,1.2,8.3,9.4,1.8,2.6,1.5,2.4,4.9,20.2,,106,109
Robert Covington\covinro01,C,29,HOU,22,21,726,5.7,14.5,0.392,3.4,10.7,0.315,2.3,3.8,0.61,1.5,1.9,0.8,1.7,9.5,11.2,2,2.2,3.1,1.9,4.6,16.3,,105,105
Allen Crabbe\crabbal01,SG-SF,27,TOT,37,1,653,4.5,12.6,0.356,2.6,8.5,0.303,1.9,4.1,0.466,0.7,1,0.714,0.8,4.7,5.5,2.4,1.1,0.3,1.2,3.4,12.3,,97,117
Allen Crabbe\crabbal01,SG,27,ATL,28,1,522,4.6,12.8,0.364,2.7,8.3,0.323,2,4.5,0.44,0.8,1.1,0.75,0.9,4.9,5.8,2.5,1.3,0.4,1.1,3.2,12.8,,100,117
Allen Crabbe\crabbal01,SF,27,MIN,9,0,131,3.9,12,0.324,2.1,9.2,0.231,1.8,2.8,0.625,0.4,0.7,0.5,0.4,3.9,4.3,1.8,0,0,1.8,3.9,10.3,,81,119
Torrey Craig\craigto01,SF,29,DEN,58,27,1072,5.7,12.4,0.461,2.1,6.4,0.326,3.6,6,0.603,1,1.7,0.611,2.9,5.8,8.7,2.2,1.1,1.7,1.2,6.2,14.5,,116,112
Jamal Crawford\crawfja01,SG,39,BRK,1,0,6,15.8,31.5,0.5,7.9,15.8,0.5,7.9,15.8,0.5,0,0,,0,0,0,23.7,0,0,0,7.9,39.4,,155,118
Jae Crowder\crowdja01,SF-PF,29,TOT,65,53,1875,5.7,14.2,0.401,3.4,9.9,0.343,2.3,4.3,0.538,2.4,3.2,0.776,1.3,8.4,9.7,4.1,1.8,0.6,1.7,3.6,17.3,,111,109
Jae Crowder\crowdja01,SF,29,MEM,45,45,1322,5.2,14.1,0.368,2.8,9.4,0.293,2.4,4.7,0.519,2.6,3.4,0.789,1.4,8.4,9.8,4.4,1.7,0.5,1.9,3,15.8,,106,110
Jae Crowder\crowdja01,PF,29,MIA,20,8,553,7,14.5,0.482,5,11.3,0.445,1.9,3.2,0.611,1.9,2.6,0.733,1.1,8.4,9.4,3.2,2.2,0.9,1.3,5.1,20.9,,127,107
Jarrett Culver\culveja01,SG,20,MIN,63,35,1506,7.1,17.5,0.404,2,6.8,0.299,5.1,10.7,0.471,1.7,3.6,0.462,2.2,4.4,6.5,3.4,1.8,1.2,2.5,3.9,17.9,,94,113
Seth Curry\curryse01,SG,29,DAL,64,25,1576,8.7,17.6,0.495,4.4,9.8,0.452,4.3,7.8,0.549,2.5,3,0.825,0.8,3.6,4.4,3.8,1.2,0.3,1.9,3.5,24.3,,123,115
Stephen Curry\curryst01,PG,31,GSW,5,5,139,11.4,28.2,0.402,4.1,16.9,0.245,7.2,11.4,0.636,9,9,1,1.4,7.6,9,11.4,1.7,0.7,5.5,3.8,35.8,,109,113
Troy Daniels\danietr01,SG,28,TOT,47,0,532,6.5,16.7,0.387,4.1,11.9,0.348,2.3,4.9,0.481,0.9,1.4,0.625,1.1,3.6,4.7,1.5,1,0.3,1.1,3.3,18,,105,112
Troy Daniels\danietr01,SG,28,LAL,41,0,456,6.5,16.5,0.392,4.2,11.7,0.357,2.3,4.8,0.478,1,1.7,0.625,1.3,3.5,4.8,1.5,0.8,0.3,0.9,3.1,18.1,,108,112
Troy Daniels\danietr01,SG,28,DEN,6,0,76,6.5,18.2,0.357,3.9,13,0.3,2.6,5.2,0.5,0,0,,0,3.9,3.9,2,2,0,2,4.6,16.9,,89,113
Anthony Davis\davisan02,PF,26,LAL,62,62,2131,12.3,24.5,0.503,1.6,4.9,0.33,10.7,19.6,0.546,9.9,11.7,0.846,3.2,9.7,12.9,4.5,2,3.2,3.4,3.5,36.1,,121,102
Ed Davis\davised01,C,30,UTA,28,1,303,3.5,7.4,0.478,0,0,,3.5,7.4,0.478,1.1,2.2,0.5,5.6,11.2,16.9,1.9,1.8,1.4,2.1,9.8,8.2,,110,106
Terence Davis\daviste02,SG,22,TOR,72,4,1209,7.8,17.2,0.456,3.7,9.5,0.388,4.1,7.6,0.541,2,2.3,0.864,2,7.4,9.3,4.5,1.5,0.6,3,4.9,21.4,,111,106
Dewayne Dedmon\dedmode01,C,30,TOT,44,18,774,6.3,15.8,0.4,1.4,6.6,0.206,5,9.2,0.541,1.9,2.2,0.833,3.7,11.7,15.4,1.4,1.5,2.5,3.5,8.2,15.9,,90,108
Dewayne Dedmon\dedmode01,C,30,SAC,34,10,541,6.2,15.3,0.404,1.3,6.4,0.197,4.9,9,0.55,2.1,2.5,0.821,4.1,10.9,15,1.3,1.3,2.3,4.2,8.3,15.7,,89,108
Dewayne Dedmon\dedmode01,C,30,ATL,10,8,233,6.6,16.8,0.393,1.6,7.2,0.222,5,9.6,0.521,1.4,1.6,0.875,2.8,13.6,16.4,1.4,2,3,2,8,16.2,,94,107
Matthew Dellavedova\dellama01,PG,29,CLE,57,4,821,3.7,10.4,0.354,1.2,5.4,0.231,2.4,5,0.488,1.9,2.2,0.865,1.1,3.4,4.4,10.7,1.2,0.1,3.5,4.6,10.5,,103,118
DeMar DeRozan\derozde01,SF,30,SAS,68,68,2316,11.5,21.6,0.531,0.2,0.7,0.257,11.3,20.9,0.54,7.9,9.3,0.845,0.9,6.8,7.7,7.8,1.4,0.4,3.4,3.7,31,,118,115
Cheick Diallo\diallch01,C,23,PHO,47,2,479,9.1,14,0.648,0.1,0.3,0.333,9,13.7,0.655,3.4,3.9,0.872,3,10,13,2.2,1.1,1.2,3.2,5.4,21.7,,119,110
Hamidou Diallo\diallha01,SF,21,OKC,46,3,896,7.2,16.1,0.446,0.9,3.1,0.281,6.3,13,0.485,2.1,3.4,0.603,2.4,6.7,9.1,2,2,0.5,2.8,5.5,17.2,,94,109
Gorgui Dieng\dienggo01,C,30,TOT,63,17,1096,7,15.4,0.456,2.3,6.4,0.355,4.8,9,0.528,3.3,4.3,0.772,3.9,11.2,15,3.1,2.2,2.5,2.5,5.3,19.7,,113,106
Gorgui Dieng\dienggo01,C,30,MIN,46,17,778,7.4,16.5,0.448,2.7,7.2,0.383,4.7,9.4,0.497,2.8,3.5,0.797,4.4,10.9,15.3,3.5,2.2,2.5,2.6,5.3,20.3,,113,107
Gorgui Dieng\dienggo01,C,30,MEM,17,0,318,6.2,12.8,0.483,1.2,4.7,0.25,5,8.1,0.618,4.6,6.2,0.738,2.6,11.7,14.4,2.2,2.1,2.5,2.3,5.1,18.1,,112,105
Spencer Dinwiddie\dinwisp01,PG,26,BRK,64,49,1994,10.1,24.2,0.415,2.9,9.5,0.308,7.1,14.7,0.485,8.2,10.6,0.778,0.8,4.5,5.2,10.3,0.9,0.5,4.1,4.3,31.3,,111,113
Donte DiVincenzo\divindo01,SG,23,MIL,66,24,1520,7,15.3,0.455,2.5,7.4,0.336,4.5,7.9,0.567,1.9,2.6,0.733,2,7.6,9.6,4.6,2.6,0.6,2.7,3.4,18.3,,108,101
Luka Don?i?\doncilu01,PG,20,DAL,61,61,2047,13.7,29.6,0.463,4,12.8,0.316,9.7,16.9,0.574,10.1,13.3,0.758,1.8,11.7,13.5,12.7,1.5,0.3,6.1,3.6,41.5,,116,110
Luguentz Dort\dortlu01,SF,20,OKC,36,28,820,5.1,12.9,0.394,1.8,6,0.297,3.3,6.9,0.479,2.5,3.1,0.792,1.4,3.4,4.8,1.6,1.8,0.2,1.3,5.7,14.5,,103,111
Damyean Dotson\dotsoda01,SG,25,NYK,48,0,836,7,16.9,0.414,3.4,9.5,0.362,3.6,7.4,0.48,1.3,1.9,0.667,0.6,4.7,5.3,3.3,1.3,0.2,1.2,2.6,18.7,,109,116
Sekou Doumbouya\doumbse01,PF,19,DET,38,19,754,6,15.4,0.39,1.8,6.4,0.286,4.2,9,0.464,2,3,0.674,1.3,6.4,7.7,1.2,1.3,0.5,2.3,5.2,15.9,,90,114
PJ Dozier\doziepj01,SG,23,DEN,29,0,412,7.8,18.8,0.414,2,5.9,0.347,5.8,13,0.444,2.5,3.5,0.724,1.2,5.4,6.6,7.6,1.7,0.7,3.2,5.4,20.2,,102,112
Goran Dragi?\dragigo01,PG,33,MIA,59,3,1663,9.4,21.3,0.441,3.6,9.9,0.367,5.7,11.3,0.505,5.6,7.2,0.776,0.9,4.6,5.5,8.8,1.2,0.3,4.2,3.6,28,,110,113
Andre Drummond\drumman01,C,26,TOT,57,56,1879,10.9,20.5,0.533,0.1,0.9,0.143,10.8,19.6,0.551,4.4,7.7,0.575,6.5,16.1,22.6,4,2.8,2.4,5.3,5.3,26.4,,104,103
Andre Drummond\drumman01,C,26,DET,49,48,1654,10.7,20.2,0.53,0,0.6,0.048,10.7,19.6,0.546,4.4,7.6,0.584,6.7,16.3,23,4.1,2.9,2.4,5.2,5.2,25.9,,104,102
Andre Drummond\drumman01,C,26,CLE,8,8,225,12.5,22.7,0.552,0.9,3,0.286,11.7,19.7,0.593,4.3,8.4,0.513,5.2,14.1,19.2,3,2.6,2.4,6.3,5.4,30.3,,100,107
Jared Dudley\dudleja01,PF,34,LAL,45,1,364,3.1,7.8,0.4,2.4,5.5,0.429,0.8,2.4,0.333,0.3,0.3,1,0.8,6,6.8,3.7,2,0.4,1,5.4,8.9,,117,108
Kris Dunn\dunnkr01,PG,25,CHI,51,32,1269,5.8,13,0.444,1.1,4.3,0.259,4.7,8.7,0.535,1.5,2,0.741,0.9,6.2,7.1,6.6,3.8,0.6,2.6,6,14.2,,104,106
Carsen Edwards\edwarca01,SG,21,BOS,37,0,351,5.8,17.6,0.328,3.3,10.5,0.316,2.5,7.2,0.346,1.8,2.6,0.684,0.8,5.6,6.5,3.3,1.7,0.6,2.1,4.7,16.6,,92,109
Henry Ellenson\ellenhe01,C,23,BRK,5,0,15,3.2,22.1,0.143,0,12.6,0,3.2,9.5,0.333,0,0,,6.3,12.6,18.9,3.2,0,0,0,3.2,6.3,,60,111
Wayne Ellington\ellinwa01,SG,32,NYK,36,1,558,5.3,15.2,0.351,4.4,12.5,0.35,1,2.7,0.355,1,1.1,0.846,0.3,5.3,5.7,3.8,1.1,0.3,1.6,3.6,16,,105,116
Joel Embiid\embiijo01,C,25,PHI,51,51,1506,12.3,25.8,0.477,1.8,5.5,0.331,10.5,20.2,0.517,11.3,14,0.807,4.5,14.5,19.1,4.9,1.4,2.1,5.1,5.6,37.7,,113,104
James Ennis\ennisja01,SF-SG,29,TOT,69,18,1265,6.1,13.8,0.446,2.1,6.5,0.325,4,7.3,0.553,3,3.8,0.806,2.7,6.7,9.4,2.4,1.3,0.8,2.2,5.3,17.4,,111,110
James Ennis\ennisja01,SF,29,PHI,49,0,776,6.2,14.1,0.442,2.3,6.6,0.349,3.9,7.5,0.525,3,3.8,0.787,3,6.4,9.4,2.6,1.4,0.9,1.9,5.3,17.8,,114,110
James Ennis\ennisja01,SG,29,ORL,20,18,489,6,13.2,0.451,1.8,6.3,0.286,4.2,7,0.6,3.1,3.7,0.838,2.3,7.2,9.5,2.2,1.2,0.8,2.7,5.2,16.8,,105,111
Drew Eubanks\eubandr01,C,22,SAS,22,3,272,7.6,11.8,0.642,0.2,0.2,1,7.4,11.6,0.636,3.5,4.6,0.769,4.9,10,14.9,2.6,0.9,3,3.7,6.5,18.8,,120,111
Jacob Evans\evansja02,SG,22,TOT,29,1,418,5.2,15.3,0.336,1.5,4.5,0.333,3.7,10.9,0.337,2.9,3.3,0.862,1,3.7,4.7,3.5,1.3,1.4,2.9,4.7,14.6,,86,116
Jacob Evans\evansja02,SG,22,GSW,27,1,414,5.2,15.4,0.338,1.5,4.4,0.342,3.7,11,0.337,2.9,3.4,0.862,1,3.7,4.7,3.6,1.3,1.4,2.9,4.7,14.8,,86,116
Jacob Evans\evansja02,SG,22,MIN,2,0,4,0,11.6,0,0,11.6,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,121
Dante Exum\exumda01,SG,24,TOT,35,1,485,5.6,11.9,0.471,1.5,4.3,0.349,4.1,7.6,0.539,3.2,4.3,0.744,1.2,5.5,6.7,4,1.3,0.8,3.1,3.8,16,,106,115
Dante Exum\exumda01,SG,24,UTA,11,0,83,5.9,13.5,0.435,1.2,3.5,0.333,4.7,10,0.471,1.2,1.2,1,1.8,5.3,7,4.1,0.6,1.2,5.9,4.7,14.1,,83,112
Dante Exum\exumda01,SG,24,CLE,24,1,402,5.6,11.6,0.479,1.6,4.5,0.351,4,7.1,0.559,3.6,5,0.732,1.1,5.6,6.7,4,1.5,0.7,2.5,3.6,16.3,,112,116
Tacko Fall\fallta01,C,24,BOS,7,0,33,16.1,20.5,0.786,0,0,,16.1,20.5,0.786,1.5,4.4,0.333,1.5,20.5,21.9,1.5,1.5,5.9,4.4,10.2,33.6,,115,93
Derrick Favors\favorde01,C,28,NOP,51,49,1243,7.8,12.6,0.617,0,0.3,0.143,7.7,12.4,0.627,1.5,2.6,0.563,6.1,12.6,18.7,3,1.1,1.7,2,4,17.1,,126,109
Cristiano Felício\feliccr01,C,27,CHI,22,0,386,4.2,6.7,0.63,0,0.2,0,4.2,6.5,0.654,2.2,2.9,0.783,6.9,5.9,12.7,2,1.2,0.2,2.2,4.2,10.7,,130,112
Terrance Ferguson\fergute01,SF,21,OKC,56,38,1257,3,8.5,0.355,1.9,6.5,0.292,1.1,2,0.558,0.6,0.8,0.75,0.9,2,2.9,2,1,0.7,1.2,6,8.5,,97,114
Bruno Fernando\fernabr01,C,21,ATL,56,13,713,6.7,13,0.518,0.3,2.4,0.135,6.4,10.6,0.605,1.9,3.3,0.569,4.4,8.6,12.9,3.2,1.2,1.1,2.7,7,15.7,,107,114
Yogi Ferrell\ferreyo01,PG,26,SAC,50,0,530,7.2,17.2,0.42,2.2,7.2,0.304,5,10,0.505,3.3,3.8,0.857,0.5,3.9,4.5,6.3,1.6,0.4,2.6,3.5,20,,107,114
Dorian Finney-Smith\finnedo01,PF,26,DAL,71,68,2120,5.5,11.9,0.466,2.6,6.9,0.376,2.9,5,0.589,1.8,2.5,0.722,3.3,5.9,9.2,2.6,1,0.9,1.6,4.1,15.5,,122,113
Bryn Forbes\forbebr01,SG,26,SAS,63,62,1579,7.3,17.6,0.417,4.5,11.5,0.388,2.8,6.1,0.47,2.3,2.7,0.833,0.4,3.4,3.8,3.3,1,0,1.7,3.4,21.4,,110,118
Evan Fournier\fournev01,SF,27,ORL,66,66,2076,10.2,21.8,0.467,4.1,10.2,0.399,6.1,11.6,0.527,4.2,5.2,0.818,0.4,3.6,4,4.9,1.7,0.4,2.9,3.8,28.6,,112,112
De'Aaron Fox\foxde01,PG,22,SAC,51,49,1634,11.6,24.2,0.48,1.6,5.5,0.292,10,18.7,0.535,7.2,10.2,0.705,1,4.8,5.8,10.3,2.2,0.7,4.7,4.3,32,,111,112
Melvin Frazier\frazime01,SG,23,ORL,19,0,126,5.8,13.1,0.441,3.1,6.2,0.5,2.7,7,0.389,0.8,1.5,0.5,0.8,3.1,3.9,1.2,3.5,0.8,1.9,4.3,15.5,,100,108
Michael Frazier\frazimi01,SG,25,HOU,13,0,145,2.2,9.3,0.241,1.3,7.3,0.174,1,1.9,0.5,2.9,4.5,0.643,0.3,2.9,3.2,0.6,0.6,0,1.6,7,8.6,,76,116
Tim Frazier\fraziti01,PG,29,DET,27,11,355,4.7,13,0.362,1.4,4.2,0.333,3.3,8.9,0.375,2.6,3.3,0.792,1.2,3.3,4.6,12.9,1.9,0.6,5,5.8,13.4,,99,114
Markelle Fultz\fultzma01,PG,21,ORL,72,60,1996,8.8,18.8,0.465,0.9,3.3,0.267,7.9,15.5,0.507,2.8,3.9,0.73,1,4.8,5.8,9,2.2,0.3,3.6,3.5,21.2,,104,111
Wenyen Gabriel\gabriwe01,PF,22,TOT,30,1,235,4.3,9.8,0.438,1.2,4.1,0.3,3.1,5.7,0.536,3.1,4.5,0.682,4.3,6.3,10.6,1.6,2.2,1.4,3.3,7.9,12.8,,103,112
Wenyen Gabriel\gabriwe01,PF,22,SAC,11,0,61,4.8,13.5,0.353,0.8,6.4,0.125,4,7.2,0.556,4.8,8,0.6,3.2,4.8,8,2.4,2.4,1.6,4,5.6,15.1,,87,110
Wenyen Gabriel\gabriwe01,PF,22,POR,19,1,174,4.1,8.5,0.484,1.4,3.3,0.417,2.7,5.2,0.526,2.5,3.3,0.75,4.7,6.8,11.5,1.4,2.2,1.4,3,8.8,12.1,,112,112
Daniel Gafford\gaffoda01,C,21,CHI,43,7,609,7.4,10.6,0.701,0,0,,7.4,10.6,0.701,2.5,4.7,0.533,4.1,4.3,8.4,1.7,1,4.4,2.3,7.8,17.4,,124,109
Danilo Gallinari\gallida01,PF,31,OKC,62,62,1834,9.5,21.6,0.438,4.7,11.6,0.405,4.8,10,0.476,7,7.9,0.893,0.9,7.6,8.5,3.2,1.1,0.1,2,2,30.7,,120,111
Langston Galloway\gallola01,SG,28,DET,66,6,1702,6.8,15.7,0.435,3.8,9.6,0.399,3,6.1,0.493,2.1,2.5,0.859,1,3.4,4.3,2.9,1.4,0.3,1.2,2.8,19.6,,118,116
Darius Garland\garlada01,SG,20,CLE,59,59,1824,7.5,18.6,0.401,2.8,7.9,0.355,4.7,10.7,0.434,1.7,1.9,0.875,0.7,2.2,3,6.1,1.1,0.1,4,2.5,19.4,,96,119
Marc Gasol\gasolma01,C,35,TOR,44,43,1161,4.9,11.4,0.427,2.3,6.1,0.385,2.5,5.4,0.473,1.5,2,0.735,1.3,10,11.3,6,1.4,1.6,2.4,5.1,13.6,,110,103
Rudy Gay\gayru01,PF,33,SAS,67,5,1461,8.7,19.5,0.446,2.4,7.2,0.336,6.3,12.3,0.511,3.9,4.4,0.882,2,9.8,11.8,3.7,1.1,1.1,2.9,3.4,23.7,,107,113
Paul George\georgpa01,SG,29,LAC,48,48,1419,11.4,26.1,0.439,5.2,12.7,0.412,6.2,13.4,0.464,6.3,7.2,0.876,0.8,8.3,9.1,6.2,2.3,0.7,4.2,3.8,34.4,,112,106
Taj Gibson\gibsota01,C,34,NYK,62,56,1025,7.9,13.6,0.584,0.2,0.7,0.286,7.7,12.9,0.599,1.9,2.7,0.732,5.3,7.4,12.7,2.5,1.3,1.4,2.2,5.8,18,,121,113
Harry Giles\gilesha01,C,21,SAC,46,17,667,10.1,18.3,0.554,0,0.1,0,10.1,18.1,0.558,2.8,3.6,0.776,3.1,10.5,13.7,4.4,1.6,1.3,3.2,8.7,23,,111,109
Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,70,70,2428,9.6,20.3,0.471,1.7,5,0.347,7.8,15.3,0.512,5.8,7.1,0.807,0.9,7.3,8.2,4.6,1.6,0.9,2.7,2.3,26.6,,111,109
Rudy Gobert\goberru01,C,27,UTA,68,68,2333,8.1,11.6,0.693,0,0,,8.1,11.6,0.693,5.3,8.4,0.63,4.8,14.3,19.1,2.1,1.1,2.8,2.7,4.5,21.4,,130,104
Brandon Goodwin\goodwbr01,PG,24,ATL,34,1,430,8.2,20.6,0.4,2.8,9.4,0.299,5.4,11.2,0.485,3,3.3,0.933,1.2,6.6,7.8,5.5,1.3,0.4,3.1,4.7,22.3,,101,116
Aaron Gordon\gordoaa01,PF,24,ORL,62,62,2017,8.1,18.5,0.437,1.8,5.7,0.308,6.3,12.8,0.494,3.6,5.4,0.674,2.6,8.9,11.5,5.5,1.2,0.9,2.4,3,21.6,,107,110
Eric Gordon\gordoer01,SF,31,HOU,36,15,1016,7.8,21.1,0.369,4.4,13.8,0.317,3.4,7.3,0.469,3.7,4.9,0.766,0.4,2.8,3.2,2.5,1,0.6,2,3.2,23.7,,101,115
Devonte' Graham\grahade01,PG,24,CHO,63,53,2211,8.3,21.8,0.382,4.9,13.3,0.373,3.4,8.6,0.397,4.3,5.3,0.82,1,3.9,4.8,10.7,1.4,0.3,4.1,2.6,25.9,,109,116
Treveon Graham\grahatr01,SF,26,TOT,55,20,929,4.4,12.1,0.36,1.7,6,0.275,2.7,6.1,0.443,1.8,2.8,0.643,2.6,5,7.5,2.3,1.2,0.3,1.5,5.1,12.2,,99,116
Treveon Graham\grahatr01,SF,26,MIN,33,20,663,4.3,12.3,0.354,1.4,5.8,0.241,2.9,6.4,0.457,1.9,2.6,0.73,2,5,7,2.1,1.2,0.1,1.3,4.6,12,,97,116
Treveon Graham\grahatr01,SF,26,ATL,22,0,266,4.4,11.7,0.373,2.3,6.5,0.351,2.1,5.3,0.4,1.6,3.3,0.474,3.9,4.9,8.8,2.6,1.2,0.7,1.8,6.3,12.6,,104,117
Jerami Grant\grantje01,PF,25,DEN,71,24,1892,7.9,16.6,0.478,2.6,6.6,0.389,5.4,10,0.537,3.8,5.1,0.75,1.5,5,6.5,2.3,1.3,1.5,1.6,4,22.2,,117,112
Jerian Grant\grantje02,SG,27,WAS,6,0,80,5.8,15.8,0.37,1.2,4.7,0.25,4.7,11.1,0.421,2.9,4.1,0.714,1.2,2.3,3.5,5.3,0.6,0.6,1.8,6.4,15.8,,99,120
Josh Gray\grayjo01,PG,26,NOP,2,0,23,2,4,0.5,0,0,,2,4,0.5,0,0,,2,2,4,4,0,0,10.1,2,4,,47,119
Danny Green\greenda02,SG,32,LAL,68,68,1687,5.6,13.4,0.416,3.4,9.2,0.367,2.2,4.1,0.524,0.9,1.4,0.688,1.4,4.9,6.3,2.6,2.4,0.9,1.8,3.8,15.4,,108,107
Draymond Green\greendr01,PF,29,GSW,43,43,1222,4.8,12.4,0.389,1.4,5.1,0.279,3.4,7.3,0.465,2.5,3.3,0.759,0.9,9.5,10.4,10.4,2.3,1.3,3.8,4.3,13.5,,100,110
JaMychal Green\greenja01,PF,29,LAC,63,1,1307,5.5,12.7,0.429,3.3,8.6,0.387,2.1,4.1,0.518,1.3,1.7,0.75,2.8,11.2,14,1.8,1,0.9,2,6.3,15.6,,112,106
